output_id,engine,system_prompt,train_set,test_set,t,d,score,accuracy,remarks
867,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_81,6,3,0,0.0,
868,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_83,6,3,0,0.0,
869,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_84,6,3,0,0.0,
870,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_85,6,3,1,1.0,
871,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_86,6,3,0,0.0,
872,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_87,6,3,0,0.0,
873,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_88,6,3,0,0.0,
874,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_89,6,3,0,0.0,
875,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_80,6,3,0,0.0,
876,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_81,6,3,1,1.0,
877,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_82,6,3,0,0.0,
878,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_84,6,3,0,0.0,
879,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_85,6,3,1,1.0,
880,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_86,6,3,1,1.0,
881,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_87,6,3,0,0.0,
882,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_88,6,3,0,0.0,
883,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_83,OneShot_6_3_89,6,3,1,1.0,
884,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_80,6,3,0,0.0,
885,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_81,6,3,1,1.0,
886,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_82,6,3,0,0.0,
887,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_83,6,3,0,0.0,
888,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_85,6,3,1,1.0,
889,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_86,6,3,1,1.0,
890,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_87,6,3,0,0.0,
891,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_88,6,3,0,0.0,
892,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_84,OneShot_6_3_89,6,3,1,1.0,
893,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_80,6,3,0,0.0,
894,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_81,6,3,1,1.0,
895,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_82,6,3,0,0.0,
896,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_83,6,3,0,0.0,
897,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_84,6,3,0,0.0,
898,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_86,6,3,1,1.0,
899,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_87,6,3,0,0.0,
900,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_88,6,3,0,0.0,
901,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_85,OneShot_6_3_89,6,3,1,1.0,
902,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_80,6,3,0,0.0,
903,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_81,6,3,1,1.0,
904,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_82,6,3,0,0.0,
905,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_83,6,3,0,0.0,
906,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_84,6,3,0,0.0,
907,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_85,6,3,1,1.0,
908,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_87,6,3,0,0.0,
909,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_88,6,3,0,0.0,
910,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_86,OneShot_6_3_89,6,3,1,1.0,
911,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_80,6,3,0,0.0,
912,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_81,6,3,1,1.0,
913,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_82,6,3,0,0.0,
914,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_83,6,3,0,0.0,
915,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_84,6,3,0,0.0,
916,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_85,6,3,1,1.0,
917,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_86,6,3,1,1.0,
918,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_88,6,3,0,0.0,
919,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_87,OneShot_6_3_89,6,3,1,1.0,
920,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_80,6,3,0,0.0,
921,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_81,6,3,1,1.0,
922,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_82,6,3,0,0.0,
923,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_83,6,3,0,0.0,
924,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_84,6,3,1,1.0,
925,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_85,6,3,1,1.0,
926,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_86,6,3,1,1.0,
927,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_87,6,3,0,0.0,
928,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_88,OneShot_6_3_89,6,3,1,1.0,
929,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_80,6,3,0,0.0,
930,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_81,6,3,1,1.0,
931,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_82,6,3,0,0.0,
932,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_83,6,3,0,0.0,
933,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_84,6,3,0,0.0,
934,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_85,6,3,1,1.0,
935,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_86,6,3,1,1.0,
936,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_87,6,3,0,0.0,
937,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_89,OneShot_6_3_88,6,3,0,0.0,
